,ISBN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
129,0375502238,1573229326,0345438329,0312282990,0312305060,0679744398,0440226104,0440200563,051511992X,044022103X,0140293248,0671525743,0316168688,0385720106,0440122090,0679745203,0451197747,0515136379,0446363251,0446610399,0671042572
130,0375700757,068484477X,0385721420,0449005615,0060921145,0312195516,0679429220,0446611085,0142001805,0375726403,0060987529,0142001740,0316666343,0070212570,0446602620,0060928336,0375705856,0345465083,1558744150,0440235596,0440224594
131,0375702709,0316781266,0743237188,0446670251,0316899984,1558744150,0375727345,0380730138,0446675059,0452282829,0425162443,0446516538,0375707972,0385720106,0060987103,0767900383,0345370805,0312278586,0440219078,0312291639,0553272535
132,0375703055,1558744150,038079487X,0515133973,0425162443,0375727345,055356160X,0515127833,0140293248,0515122734,0375706771,068484477X,051511992X,0070212570,0871136791,0440221595,0671693816,0140244824,0440226104,0316899984,0515130966
133,0375703063,0451202341,0385505833,0553571818,0375707972,0440236703,0451197747,0316569321,037570504X,0312291639,0375706771,068484477X,0743237188,042513699X,0312305060,0316666343,0743418174,0786867647,0671537458,0345438329,0142000205
134,0375703861,0060958022,0553574574,0060977493,0446310786,0440180295,0345387651,0140244824,0064407667,0553277472,0451183665,0345404114,0679735909,0449134482,0345361792,0060976845,0452260116,0451203895,038572179X,0156027321,0440236703
135,037570504X,0671038184,0452260116,0452282829,0316899984,0345443284,0446516538,0439139600,0375707972,0385265700,0375703063,068484267X,0375706771,0671021001,0060928336,0804114986,0446310786,0440213525,038079487X,0451202341,0140244824
136,0375705856,0385721420,0312282990,068484267X,0679429220,015100692X,0375725784,067976402X,0767900383,0871136791,0060934417,0140293248,0449005615,0375726403,0316781010,0375700757,0767905180,0671510053,0375502238,0060959037,0684874350
137,0375706771,0375727345,0385720106,0140293248,038550120X,0316899984,0061009059,0451202341,0345465083,0375703055,0316666343,0452282829,0060930535,0316569321,0425162443,0345439104,038079487X,0425167313,0142001430,0679745203,0385484518
138,0375707972,0671038184,0312195516,0140244824,0425162443,0380730138,0452282829,0871136791,068484477X,0670892963,0385265700,1558744150,0375702709,0446670251,068484267X,0316781266,0316569321,038079487X,037570504X,0375703063,0553268880
139,0375725784,067088300X,0142001430,0440219078,0375705856,0449223604,0375726403,0385492081,0449221512,0553280341,0553284789,0316569321,015100692X,034541389X,0609804138,0679772677,0553279912,0060934417,0449221504,0316168688,0449219364
140,0375726403,0446602620,0345361792,1400031354,0060987529,0312195516,0345438329,0312282990,0060987103,0671003755,0060930535,0871136791,0070212570,0316666343,0142001430,0440211263,0380813815,0060934417,0425167313,0140293248,0060977493
141,0375727345,0316899984,0375706771,0743237188,0142000205,0452282829,0425162443,0345439104,0385720106,0375703055,0375702709,0446670251,044651862X,0316569321,0312305060,0679429220,014100018X,0385505833,0316168688,0679751521,0380730138
142,0375760911,0312980159,0609804138,0316776963,0743418204,0446609404,0345445848,0446611867,0316096199,0380710218,0671693816,0440998050,042513699X,0446602620,0061009059,0312971125,044651862X,0446607711,0345422317,0440224764,0312980140
143,0380002930,0452264464,0345384466,0345313860,0345350499,0064472272,0671042858,0345422317,0316776963,0446363251,0440226104,0451166892,0553250426,0449212602,0679745203,0440498058,0064400557,0064407675,0446532231,0316780375,0060938455
144,0380018179,0515127833,0449134482,0440207622,0671888587,0515133973,0743460529,0671568175,0440122090,0345386108,051513287X,0671042572,0515122734,0684872153,0671004530,0553580221,0671867172,0515120618,0440193613,0671004565,0671014919
145,0380710218,0425163407,034538184X,0440176484,0440220602,0440224624,0380718340,0553582135,0440241537,0440203856,0440213525,0440234743,0440214041,0671014919,0425147622,0440201926,0064400557,0440200563,042513525X,0671004573,0446603716
146,0380710722,0553260111,0440203856,0140298479,0385730586,0451153553,051511992X,0743418174,0671002481,0425154092,0380710218,0440234743,0440241537,0446611867,0345370775,0515126772,0440221471,044022165X,0425115801,0385484518,0515133973
147,0380717018,0380718332,0380718340,0446612790,0425154092,0842329218,055357230X,034538184X,014100018X,0446360589,0425121631,0425107469,0425147622,0425158616,0316969443,1400031354,0842329242,0553279556,0446359866,014025448X,0804114986
148,0380718332,0425154092,0380718340,0380717018,0425147622,055357230X,0425180638,0425163407,0425158616,034538184X,0449003787,0446603716,0425121631,038079487X,0553278029,0449221504,0449219461,0425107469,0553279556,0553582526,0553280368
149,0380718340,0380718332,0425147622,0425154092,0425163407,055357230X,0425169863,0380717018,0425158616,0440203856,0380710218,0671011367,0671888587,0671867091,0671004573,0446604801,0553279556,0440176484,042513525X,0553569910,0425180638
150,0380730138,0425162443,0140244824,0316899984,068484477X,0345439104,0452282829,0375707972,0553250531,0375702709,0743237188,1558744150,0385720106,0385265700,0425167313,0671038184,0345443284,0060930535,0060987561,067976402X,0375727345
151,0380731851,0446608890,0671042262,0440241073,0425121631,0345386108,051513287X,0553279378,067102423X,0425147363,0553578693,0425147584,0385504209,0871136791,0375727345,0440236703,0440214041,0688177751,0375700757,0553571818,0553582127
152,0380789019,0804105820,0345422317,0441569595,0425147363,0385479565,0446608890,0312974256,0553213172,0743225406,0385504209,0688177751,0440241073,0425155404,015100692X,0064407675,067976402X,0451186362,0743460529,0609804138,0871136791
153,0380789035,0449005615,0142001805,0440180295,0786817070,0345361792,0140119906,0553277472,0060392452,0375727345,0156027321,0441003257,0440498058,067976402X,0446605484,0452264464,0064400557,0316780375,0375726403,0425124347,0440206154
154,038079487X,0425107469,0375703055,0451202341,0380718332,0452282829,0345370805,0345439104,0312291639,0140293248,0380718340,0385335482,0425158616,0375707972,0316569321,0425147622,0671004530,0515133973,0375706771,080411109X,0515122734
155,0380813815,0440498058,0375726403,0140119906,0553578693,0060987529,0446602620,1400031354,1400031362,0061009059,034541389X,0441003257,0441569595,0345361792,0312966091,0316666343,0375727345,0553280368,0767900383,055356773X,0440998050
156,0385265700,068484477X,0425167313,0316666343,0375707972,0804114986,0380730138,0679751521,0440998050,0140293248,0316096199,0060915544,0609804138,0670892963,037570504X,0316601950,1573225789,0345438329,0440236673,0446672211,014023313X
157,0385335482,0385335881,038550926X,0385336179,0743418204,0743418174,038079487X,0312278586,0767905180,0786868716,0140293248,014100018X,0385730586,0553560247,0446610038,0679746048,0515132020,044022103X,0671693816,0316569321,0064472272
158,0385335881,0385336179,038550926X,0385335482,0312278586,014029628X,0449219364,0767905180,0140298479,0440193613,0743418204,0767900383,0446607711,0440235596,0375703055,0345445848,067088300X,0385720106,0316569321,0060987103,0671867172
159,0385336179,0385335881,0345445848,1558745157,0446604801,0671673688,0385335482,0446610399,0385720106,0671693816,038079487X,0441569595,0671004530,1400034779,0671003755,0425155404,0671004573,0140298479,0140293248,0671014919,0671042572
160,0385420161,0553296981,038542017X,0451197747,0553274295,1573229326,0316666343,1400031362,0553569058,051511992X,0385504209,0142000205,0345387651,0312195516,0375706771,0671510053,0316769487,0446363251,0316781010,0345439104,044651652X
161,038542017X,1558745157,044651862X,0142000205,0440226104,0553277472,1573229326,0446612790,0064407675,0156027321,0679744398,0743460529,080411109X,0446604666,0385420161,0375502238,0060391626,0375707972,0312282990,0553279378,068484267X
162,0385474016,0440219078,0316168688,0743225406,006101351X,0679744398,0374199698,0440224624,034540288X,0449212602,0671617028,0679751521,0345370775,0804111359,0425147363,0385479565,0553280341,059035342X,0679772677,0440122090,0375726403
163,0385479565,0743225406,0609804138,0804105820,0345370775,0345427637,0060391626,0425155404,0671867172,0553572997,014023313X,1559029838,074343627X,0671042858,0553278029,0553275976,0385474016,0440234743,0553272535,0449219364,0425162443
164,0385484518,0786868716,0425167313,0060987561,0141000198,0060930535,0446608955,0375706771,0060392452,0316969443,0446605239,014029628X,0140293248,0061097101,0440200563,051511992X,038550120X,0385722206,0743237188,0345443284,0345361792
165,0385486804,0441003257,0142001430,0743225406,0061009059,0553572997,0385492081,014023313X,080411109X,0452282829,0375707972,0375705856,0380718340,0679735909,0553569058,0440236703,0345350499,0679772677,0380730138,0316666343,0446611212
166,0385492081,0684848783,0743225406,0804108749,1559029838,0679772677,0375725784,0440226430,0316666343,0743418174,0380730138,0553579754,0385486804,002542730X,0316601950,0140293248,0446611212,0345438329,0446610038,0553573136,0316096199
167,038550120X,0553583441,0375706771,0385505833,051512608X,0671693816,0373218400,0373218036,0446606189,044651862X,0373218397,051511992X,0373218192,0440201926,0446603589,0061009059,0440176484,0671004573,0452282829,0316666343,0345438329
168,0385503822,0440200563,0451153553,0446610038,0425158632,051511992X,0064407675,0385508042,0312265867,0385505833,0446363251,0373218192,067102423X,0440226430,0671867091,0385720106,0553579754,0446364193,080410753X,0446612790,0842329242
169,0385504209,0671027360,0553583441,0671042262,0440234743,0316666343,0446608890,0374199698,0671003755,0440222656,0345386108,0767900383,0446603589,0312195516,0440176484,0553268880,0609804138,0446604666,0440221471,0671041789,044022165X
170,0385505833,0440200563,0440201926,0743237188,0440176484,038550120X,0440193613,0385720106,0440207622,0451197747,0671525743,0312966091,0345370805,0385503822,0061009059,0375727345,0316569321,051511992X,0375703063,0425182878,051512608X
171,0385508042,0515122734,014100018X,055321313X,0425147363,0373218036,0553578693,0385503822,0743437640,0440122090,0440213290,0064407675,0446602620,0440236673,0515133973,0449223604,0446608890,0312265867,0671042572,0515127833,0380718340
172,038550926X,0385335881,0312278586,0385335482,0767905180,0515130966,014029628X,0688177751,044022103X,0609804138,0440498058,0446610038,0671793489,0446675059,0440193613,0671867091,0671027387,0446670251,0449907481,0671014196,0345447840
173,0385720106,0425162443,0375706771,0786881852,0375727345,0140293248,0345370805,0671510053,0385505833,140003065X,0380730138,042511774X,0345445848,0060987103,0375502238,0688177751,0446608955,0375702709,0385336179,0385503822,0743237188
174,0385721420,140003065X,0375705856,0679429220,0449005615,0375700757,1400031362,0140119906,015100692X,068484477X,0060987103,0449003795,0786817070,0385720106,1400031354,0679751521,0142001740,0061097101,0060959037,0345465083,0345370805
175,038572179X,014029628X,0345439104,0553213172,0316781266,0446672211,1573225789,0060976845,0515135062,0345438329,0385722206,0440223202,0060934417,0446310786,0671027360,0446394521,0515130389,0440224594,0316666343,051512608X,0440215625
176,0385722206,0156027321,014029628X,1400031354,0804111359,0679745203,080410753X,0345361792,0446612790,0425162443,055357230X,0060928336,0743418204,0312305060,067976402X,0316168688,0060959037,0312195516,0060976845,0425167313,0553250531
177,0385730586,0446532231,0670892963,0679746048,0380710722,0449907481,0385335482,0425162443,0609804138,0060915544,0064407667,067088300X,0451203895,0786868716,0375707972,0060987103,055321313X,0671510053,0345387651,0446359866,1559029838
178,0399501487,0446310786,0316769487,074343627X,0140067477,0679751521,044022165X,0679772677,0385492081,0451524934,0671880314,0440236673,0380730138,089480829X,0440224624,0786867647,0345404114,0380002930,0971880107,0425116840,0345342968
179,0425083837,0425109720,0446603589,0425147584,0425122123,0425143325,0425145638,044021145X,0440206154,0345380371,0451167317,0671793489,042510107X,0425116840,0553574574,0679772677,0609804138,0671004107,0373218036,0449221512,0380710218
180,0425092917,0440224594,0440122090,0345447840,0440202043,0440221595,0553569058,0440211263,0440235596,042513699X,0767905180,0684872153,0060921145,0553272535,0553571885,034538184X,0553279378,0452260116,0425182878,067976402X,0743227441
181,042510107X,0425122123,0425133540,0425147584,0440206154,0425143325,0451176464,0440224675,0440224764,0425109720,0440213525,0440236673,0345402871,0440214041,0312924585,0425158632,0446359866,0064407675,0425116840,0451153553,0345384466
182,0425107469,042513525X,0345384350,0425115801,0440200563,0671867172,0425124347,038079487X,0671004530,0451181379,0451177096,0345386108,0451156609,0451167317,0451184963,0451172817,0671793489,0451153553,0451176464,0380718332,0446359866
183,0425109720,0425116840,0425158632,0425143325,0425122123,0446359866,0425083837,0425133540,0425147584,0451160525,042513525X,0345353145,042510107X,0425145638,0553581554,0553278029,0553250426,0345402871,0553260111,0449212602,0440213525
184,0425115801,0425107469,0440200563,0425124347,0345384350,0671024248,042513525X,0316168688,0345386108,0451156609,0671867156,0451167317,0671042858,067102423X,0671670689,0671673688,0553580191,074343627X,0671004565,0451186362,0515133973
185,0425116840,0425158632,0425109720,0425143325,0425147584,0425122123,0425133540,0446606324,0440224764,0446359866,0451153553,0446608890,0553581554,042510107X,0440224675,0553582526,0553579983,0440998050,0440241537,0440236673,0553574574
186,042511774X,0679744398,0385720106,0515130966,0345465083,055356160X,0316780375,0671525743,0316284955,0060502258,0812550706,014023313X,1558744150,0679751521,0446603589,0553272535,0425189031,0804114986,0425145638,0743436210,0743225406
187,0425121631,0451181379,0425182878,0440224764,0380718332,0312990456,0425163407,0312924585,0671867172,0425124347,0449219461,0446609404,0425107469,0446608815,0345402871,034538184X,0380731851,0380717018,0553569910,0671001795,0440206154
188,0425122123,042510107X,0425147584,0425143325,0425109720,0425116840,0425133540,0425083837,0553582526,0446603589,0553574574,0345402871,0440224675,0553581554,0553578693,0345378490,0553289411,0451176464,0446359866,0553278029,0440206154
189,0425124347,042513525X,0345384350,0425107469,0451156609,0425115801,0671004565,0671673688,0451167317,0553580191,0345386108,0451181379,074343627X,0671867172,0451153553,0425121631,0451176464,0451177096,067102423X,0743460529,0451172817
190,0425133540,0425158632,0425147584,042510107X,0446612545,0425122123,0425109720,0446359866,0425116840,044651862X,0446610038,0440224675,0743436210,0553582526,0553579983,0446364193,0553581554,0425163407,0345378490,0671027387,0451153553
191,042513525X,0425107469,0671014919,0425124347,0671867172,0671004573,0345384350,0553580221,0345386108,0451176464,0451153553,074343627X,0451167317,0671673688,067102423X,0425155404,0451181379,0671004549,0425145638,0451156609,0451177096
192,042513699X,0804114986,0553268880,0425167313,0446610100,043935806X,0446672211,0375760911,0060391626,0375703063,0446608815,0440193613,0804106304,0786867647,0312983271,0446611085,0316776963,0060987561,0440222656,0316769487,0440226430
193,0425143325,0425116840,0425158632,0425147584,0425109720,0425122123,0553579983,042510107X,0425083837,0446607711,0425133540,0373218400,0440241073,0449003787,0515128554,0345413873,0440234743,0440206154,0553250531,0440236673,0671042858
194,0425144429,0345386108,0553582135,0425180638,0553571818,0446604801,0380710218,0553561618,0446609404,0345402871,0425145638,0451184963,0553579754,0345384350,0425124347,042513525X,044022103X,0425174271,0425155404,0440226104,0446611212
195,0425145638,0345380371,0671673688,042513525X,0671004107,0345384350,0451160525,0060392452,0553275976,0671793489,042518630X,0446605484,0451167317,0446603589,0425109720,0425083837,0446611212,042511774X,0743436210,0440224624,0345402871
196,0425147363,0425155404,0373218036,0553580221,0385508042,042513525X,0446364193,0345386108,0440176484,0385474016,0446607711,0515130966,0345417623,0553578693,0671793489,0671537458,0446601241,0553579754,0440200563,0671525743,0553582526
197,0425147584,0425122123,0425116840,0425133540,0425143325,042510107X,0553582526,0553574574,0425109720,0553581554,0671027387,0425083837,0440241073,0553289411,0425158632,0425182878,0804105820,0553278029,0440225701,0446363251,034540288X
198,0425147622,0425154092,0425163407,0425180638,0380718340,0380718332,0425169863,0425158616,0553581554,0345370775,0425172546,0312924585,0446603716,0446606189,0380710218,0425182908,0553560247,0425175405,0553279556,0743437640,0345391055
199,0425152251,0316969443,006016848X,0446310786,0375703055,0425175405,0060392452,0553580191,0446611867,0684872153,0399501487,0345339703,0451176464,0671670689,0345417623,1558744150,0345386108,0451172817,0316096199,0385486804,0553578693
200,0425154092,0380718332,0425147622,0425163407,0380718340,0425180638,0425169863,0449003787,0440234743,0553560247,0671867113,0380717018,0425172546,0425158616,055356451X,055357230X,0440201926,0553582526,0380710218,155874262X,0446606189
201,0425155404,0425147363,042513525X,1559029838,0451176464,0425180638,0671004573,0671027387,0671014919,0446609404,0671042858,0440207622,055356160X,0446602620,0671011367,0553273914,0385479565,0515122734,0553580221,0671867091,0671525743
202,0425158616,0425163407,0380718332,0425147622,0425175405,0380718340,0671011367,0553278029,042516098X,0425107469,0425154092,0671004573,0515121843,0425180638,042513525X,014100018X,0446603716,0743418204,0425169863,038079487X,0553289411
203,0425158632,0425116840,0425133540,0425109720,0425143325,0446612545,0553289411,0385503822,0425147584,0446364800,0446364193,0451153553,0373825013,0553581554,042510107X,0425122123,0446610038,0440224675,0553582526,0553579983,0440998050
204,042516098X,0446602620,0425158616,0743436210,1559029838,042513525X,0553582127,080410753X,0345386108,0425147363,0553579606,0345391055,0553279556,074343627X,0440214041,0671867172,0380731851,0553582526,0312980159,0671525743,0070212570
205,0425162443,0380730138,0425167313,0385720106,0375727345,0743237188,0375707972,0375703055,0449907481,0553278029,0375702709,0871136791,0679746048,0345439104,1558744150,0316899984,0385722206,0375706771,0070212570,0671038184,0440226104
206,0425163407,0425147622,0425169863,0425154092,0380718340,0553582526,0425158616,0380718332,0425180638,055357230X,055356451X,0380710218,0425172546,0425175405,0446606189,0425121631,014100018X,0345413873,0553278029,0449219461,0345413865
207,0425167313,0425162443,0060391626,0385265700,0804108749,044651862X,0060987561,0140293248,0316899984,0804105820,0743436210,0380730138,0385484518,0375726403,0312305060,0553268880,0060987103,0439064864,042513699X,0375706771,0385720106
208,0425169863,0425163407,0425147622,0380718340,0446606189,0425154092,0743460529,0671693816,0812550706,0671880314,0446601241,0312974256,0440201926,0671867113,0373218192,055356451X,0425175405,0671042262,0553564528,0440214041,0449221490
209,0425172546,0425182908,0425147622,0425163407,055357230X,0446609404,0449223612,0425154092,0440241537,0446603716,0684872153,0449219364,0380718340,0446604801,0312924585,0425180638,0449219461,0380710218,0425169863,0449221482,0440220602
210,0425174271,0671002481,0425182878,0440224675,0446360589,0553581554,0440220602,0345384350,0316666343,0425182908,0440206154,0345391055,0380710218,044021145X,0425144429,0440241537,0449221512,042513525X,055356773X,0425107469,0385503822
211,0425175405,0425158616,0425163407,0425180638,0425169863,0425147622,0345413865,0425154092,0380718340,0671011367,0446601241,0553581554,0553564528,055356451X,0449221490,0380718332,0451177096,0553580191,0553279556,0553579606,0449221512
212,0425178579,0425189031,0373483503,042518630X,0671525743,0373484224,051513287X,0515136530,0515131229,0515132020,0515128554,051513628X,0515126772,0515127833,0515130966,051512608X,0515130389,0515136379,0515133973,051512317X,0515120618
213,0425180638,0553581554,0425147622,0425154092,0345413873,0380718332,0446609404,0345386108,0425163407,0425182908,0553582135,0553582526,0671537458,0439139600,055356451X,0446603716,0671011367,0425155404,0425175405,074343627X,0553582127
214,0425182878,0440234743,0345413873,0671027387,0425174271,074343627X,0425121631,0553582127,0446604666,0345391055,0425182908,0553579983,0449003787,0345386108,0446360589,0425180638,0446606189,042518630X,0345417623,055356451X,0446610038
215,0425182908,0425172546,0446609404,055357230X,0425180638,0553581554,0446608815,0446604801,0425182878,0446608890,0446603716,0449223612,0449219461,0345413903,0345413873,0425147622,0449221504,0449003795,0553271636,0425163407,0380718332
216,042518630X,0425189031,0373483503,0515131229,0515136530,0515128554,051513287X,0515136379,0515126772,0671525743,0515132020,051512608X,0425178579,051513628X,067101420X,0515132187,0515128546,0373218397,0553583441,0373218036,0515130966
217,0425189031,042518630X,0373483503,0671525743,0515128554,0515132020,0425178579,0515124214,0515135062,0515136379,051513287X,0515121843,0515132187,0515130966,0373484224,0515131229,0515136530,051512608X,0373218192,0515126772,0515128546
218,0439064864,0439136350,0439139597,043935806X,059035342X,0140067477,0425167313,0345337662,0439139600,0439136369,0804108749,0679745203,014025448X,0345361792,044651862X,034538475X,0060987561,0345350499,080410753X,0064407667,0385722206
219,0439064872,059035342X,0439139600,0439136369,0553284789,0425189031,0671525743,0064400557,0316284955,0439139597,0060928336,0515120618,0449223604,0679744398,044021145X,0440203856,0515132187,0060502258,0553572997,0553280341,0440213525
220,0439136350,0439064864,0439139597,043935806X,059035342X,0140067477,034538475X,080411109X,0064400557,0439139600,0804106304,0440498058,0440998050,0060958022,0804108749,0553560247,042513699X,0446532231,0060987561,0439064872,0345337662
221,0439136369,0439064872,0439139597,059035342X,0439139600,0671525743,0671793489,043935806X,0064400557,0553272535,0345337662,0440176484,0553569910,0439064864,0553213172,0515120618,006101351X,0515130966,0553277472,055321313X,0064407675
222,0439139597,0439136350,0439064864,043935806X,059035342X,0439136369,0439064872,0140067477,034538475X,0743437640,0553560247,0385503822,014025448X,0142001805,0804105820,0439139600,0373483503,0345339681,0345339703,0804108749,014028009X
223,0439139600,0439064872,043935806X,0425180638,059035342X,0671525743,0439136369,0671014919,0671004573,055356160X,0060928336,0425189031,0440213525,0446604801,0515121843,0440214041,0449221490,0440176484,044023722X,0553569910,0380718332
224,043935806X,0439139597,0439136350,0439064864,0439139600,059035342X,0440498058,0439136369,0064407667,0140067477,042513699X,0786881852,0385484518,0440998050,0679751521,0345350499,055356773X,0064472272,0316769487,0515136530,0439064872
225,0440122090,0440221595,0440224594,0684872153,0440235596,0440213290,0515122734,0440211263,0515127833,055356160X,1558744150,0446606324,0440215625,0671042572,0553278029,014025448X,0440202043,0553268880,0385508042,0743225406,0440223202
226,0440176484,0440201926,0440200563,0440203856,0440193613,0671014919,0671867091,0671525743,0373218192,0671004573,0440207622,0440200989,0671001795,0671693816,0743460529,0671568175,051512608X,0373218036,0553569910,0515120618,0380710218
227,0440180295,067088300X,0451524934,0440998050,0375727345,0553277472,080411109X,0441569595,0609804138,0679429220,0316780375,0679746048,0375703861,014029628X,0380789035,0671510053,0449212602,0670892963,0446670251,0812550706,0064400557
228,0440193613,0440176484,0440200563,0440201926,0671670689,0671693816,0440207622,0440203856,0671525743,051511992X,0446364193,0440226430,0553581554,0446604801,0440211263,0671004565,0671867091,0446610038,0671537458,0671014919,0385505833
229,0440200563,0440176484,0440201926,0440203856,0440193613,0440207622,0671525743,0425107469,0373218192,0425115801,0671670689,0385503822,0385505833,0671014919,0446363251,0671001795,0671004573,051511992X,0515133973,0671004530,0312966091
230,0440200989,0671004530,0671568175,0671004565,0671014919,0671004549,0671004573,0671758896,0743460529,0671673688,0671867091,0440176484,0671867156,0671793489,0671888587,0345386108,0553569910,1558745157,0440219078,0425107469,0671867113
231,0440201926,0440176484,0440200563,0440203856,0440193613,0373218192,051512608X,0373218400,0671670689,0743460529,0373484224,0373218036,0671004549,0440207622,0373218397,0515120618,0385505833,0671793489,0671693816,0515133973,0671014919
232,0440202043,0440122090,0515120618,155874262X,0515128554,0553561618,0515127833,034538184X,080410753X,0440241537,0515128546,0425092917,0684872153,0380018179,0515122734,0446606812,0553272535,0425121631,0425109720,0451203771,0440224594
233,0440203856,0440176484,0440200563,0440201926,0440193613,0671004573,0380718340,0451153553,0671014919,0373218192,0141000198,0671525743,0380710218,0440207622,0515133973,0380718332,0671670689,0743460529,0671568175,0671867091,0671001795
234,0440206154,0440224675,0312924585,0345370775,042510107X,0425169863,0425121631,0425122123,0345384350,0425083837,0446605484,0312195516,0446359866,0451153553,0380710218,0425174271,0345380371,0440214041,0425147622,0446606812,0553581554
235,0440207622,0440200563,0440193613,0440176484,0671670689,0440201926,0553581554,0671693816,0440203856,0671014919,0446364193,0385505833,0671525743,0425155404,0440226430,0671004573,0373218192,0380018179,0515133973,051513287X,0553569910
236,0440211263,0440221595,0440122090,0440193613,0515133973,0446611867,0515127833,0446608955,0515122734,051511992X,0312291639,0440224594,0312305060,0375726403,0440235596,0553581554,0684872153,0440200563,0553272535,044022103X,0440207622
237,044021145X,0440214041,044022165X,0440220602,0440211727,0440213525,0440221471,044023722X,0440224764,0671867091,0671793489,0345378490,0440225701,0380710218,155874262X,0671024248,0425107469,0439064872,034538184X,0425083837,059035342X
238,0440211727,0440214041,0440213525,044021145X,0440220602,044022165X,0312924585,0446603716,059035342X,0440221471,0515133973,0743437640,0671525743,044023722X,0440176484,0671886665,080410526X,0440201926,0440241537,0446364193,055357230X
239,0440212561,0440215625,0671525743,0316781010,0553292722,0440222656,0553582127,0425178579,0385504209,0446610542,0345413350,0452282152,042511774X,0515130966,0446611085,0312195516,0553260111,0425189031,0440122090,0312974256,0446610399
240,0440213290,0440223202,0345413873,0440122090,0449003787,0553579754,0440235596,0440221595,0671537458,0440224594,0553582135,0671011367,0446607711,0553280368,0385508042,0446603589,0446604666,0312983824,0440215625,0743225406,0446602620
241,0440213525,0440214041,0440211727,044021145X,0671793489,0671525743,0440220602,0446609404,0380710218,0446364193,055357230X,0842329129,0446604801,0439139600,0446606189,0671001795,0842329242,042510107X,044023722X,0671867091,0385505833
242,0440214041,044021145X,0440213525,0440211727,0440220602,044022165X,0440221471,0440224764,0446605484,0380710218,0671793489,0671041789,0671525743,044023722X,0446609404,034538184X,0439139600,0440225701,0446360589,0425169863,0553260111
243,0440215625,0440212561,0440122090,0553268880,0440235596,0440213290,0553579983,0553580191,0451166892,0440224624,0064472272,0345369947,0345386108,0446610399,0316781010,055356160X,0515130966,0380718340,0385720106,0553582135,0671014196
244,0440219078,0385474016,0553279378,0671867091,0671568175,0440176484,0440200989,0679751521,0375725784,0449219364,0440998050,074343627X,1558743669,0553569058,0316284955,0609804138,0449003787,0140067477,0671042572,067088300X,044022103X
245,0440220602,044022165X,044021145X,0440214041,0440224764,0440211727,0380710218,0440213525,0553582135,055357230X,0446603716,0440225701,0440176484,0440221471,044023722X,0440241537,0446364193,0425174271,0425172546,0440236673,0440201926
246,044022103X,0312305060,068484477X,0679745203,0440226104,0316569321,0375502238,0609804138,1573229326,0316168688,0449221490,0064407667,0553278029,0440213290,0312278586,038550926X,0064407675,0440226430,0671042262,0070212570,0440219078
247,0440221471,0440224764,0440214041,0671041789,0440236673,0440225701,0440234743,044021145X,0671537458,0553582526,044022165X,0553581554,0345391055,0440220602,0446603589,0440224675,0440211727,0345445848,0446359866,0440176484,0345370775
248,0440221595,0440211263,0440122090,0515133973,0515127833,0515122734,0440224594,0440213290,0871136791,1558744150,0670892963,0446516538,0684872153,0805063897,0440235596,0671693816,055356160X,0553581554,0375703055,0553279378,0440193613
249,044022165X,044021145X,0440220602,0440214041,0446607657,0440211727,0446364193,0440221471,0440176484,0671673688,055357230X,0425115801,0451167317,0440200563,0440213525,0440203856,0345378490,0446603716,0440224764,0425124347,044651652X
250,0440222656,0440224624,0553582135,0842329242,0446607657,0446610399,0385504209,0060930535,0440212561,0671042572,0449005615,0425163407,0385720106,0440215625,068484477X,0316781010,042513699X,0446608955,0142000205,0425115801,0440213525
251,0440223202,0440213290,0440224594,0440235596,0743437640,0451203771,0440122090,0449221504,0425180638,0446611085,044022103X,0449221490,0449003787,0743227441,0553279556,0449221512,0312924585,080411868X,0553271636,0553213148,0375700757
252,0440224594,0440122090,0440223202,0440235596,0446611085,0440221595,0345422317,0440213290,0440211263,0684872153,0425092917,0767900383,0446609404,0786868716,0440211727,0743437640,0375700757,0515133973,0449221490,0553279556,0440202043
253,0440224624,0380710218,0440222656,0440235162,0553582135,0385474016,0671014196,0446603589,0425107469,0743436210,0440236673,0679751521,0446363251,0451203771,0373218192,0345370775,0671793489,0440215625,034540288X,0553277472,0425145638
254,0440224675,0440206154,0553581554,0671002481,0425133540,0671537458,0553289411,0425122123,0425174271,042510107X,0451153553,0440221471,0671024248,0451184963,0316666343,0451197747,0345386108,0684872153,0553582135,0425147584,0345384350
255,0440224764,0440220602,0440225701,0425121631,0440221471,0440214041,044021145X,0671886665,0425116840,0440236673,042510107X,0440176484,0312966806,0440201926,034538184X,0446609404,0380710218,0446606324,051512317X,0440234743,0446364193
256,0440225701,0440234743,0440241073,0671568175,0440224764,0440221471,0440220602,0446359866,0345391055,0440236673,0743460529,044021145X,0671867172,0440214041,0425147584,0671888587,0446364193,0446602620,0553571885,0440176484,0553279378
257,0440226104,0446609404,0671038184,0312974256,0671708635,0375502238,044022103X,0425180638,0375703055,0425182908,038542017X,0671537458,0316168688,038079487X,0425147622,0425162443,0140244824,0446603716,0345386108,0553581554,0446363251
258,0440226430,0440193613,0553579754,0440200563,0440207622,0385503822,0440176484,0515136530,0446608955,044022103X,0671525743,0671693816,0316601950,0804114986,0786868716,0449003787,0553569910,014028009X,0671004573,068484477X,0440203856
